name,population,median_income,state,place
"Trout Lake CDP, Washington",732,66103,53,72450
"Tukwila city, Washington",21545,71688,53,72625
"Tumwater city, Washington",24855,77849,53,72905
"Twin Lakes CDP, Washington",87,31875,53,73065
"Twisp town, Washington",1211,55227,53,73080
"Union CDP, Washington",307,-666666666,53,73255
"Union Gap city, Washington",6499,52552,53,73290
"Union Hill-Novelty Hill CDP, Washington",23060,167609,53,73307
"Uniontown town, Washington",351,68750,53,73360
"University Place city, Washington",34565,84673,53,73465
"Upper Elochoman CDP, Washington",125,-666666666,53,73580
"Vader city, Washington",787,55101,53,73780
"Valley CDP, Washington",108,28788,53,73885
"Vancouver city, Washington",188331,67462,53,74060
"Vantage CDP, Washington",0,-666666666,53,74200
"Vashon CDP, Washington",10886,94123,53,74305
"Vaughn CDP, Washington",1201,147539,53,74445
"Venersborg CDP, Washington",4011,113384,53,74585
"Verlot CDP, Washington",522,132743,53,74760
"Waitsburg city, Washington",999,64583,53,75565
"Walla Walla city, Washington",33765,55648,53,75775
"Walla Walla East CDP, Washington",2062,78387,53,75810
"Waller CDP, Washington",7907,103611,53,75905
"Wallula CDP, Washington",39,53036,53,75985
"Wapato city, Washington",4652,47955,53,76125
"Warden city, Washington",2504,46189,53,76160
"Warm Beach CDP, Washington",3313,106316,53,76195
"Washougal city, Washington",16664,95894,53,76405
"Washtucna town, Washington",182,57083,53,76440
"Waterville town, Washington",1461,66404,53,76510
"Wauna CDP, Washington",4506,103906,53,76615
"Waverly town, Washington",181,57583,53,76720
"Wenatchee city, Washington",35086,60285,53,77105
"West Clarkston-Highland CDP, Washington",6080,42348,53,77297
"West Pasco CDP, Washington",1604,99412,53,77612
"Westport city, Washington",2199,51354,53,77630
"West Richland city, Washington",15988,109209,53,77665
"Wheeler CDP, Washington",230,-666666666,53,78050
"Whidbey Island Station CDP, Washington",2644,34079,53,78155
"White Center CDP, Washington",15716,71827,53,78225
"White Salmon city, Washington",2519,62953,53,78330
"White Swan CDP, Washington",759,48750,53,78365
"Wilbur town, Washington",677,62589,53,78680
"Wilderness Rim CDP, Washington",2270,123819,53,78780
"Wilkeson town, Washington",494,91429,53,78925
"Willapa CDP, Washington",133,48875,53,78995
"Wilson Creek town, Washington",219,37500,53,79135
"Winlock city, Washington",1924,61875,53,79275
"Winthrop town, Washington",351,56382,53,79380
"Wishram CDP, Washington",489,36979,53,79485
"Wollochet CDP, Washington",7020,112000,53,79555
"Woodinville city, Washington",13247,127689,53,79590
"Woodland city, Washington",6368,74221,53,79625
"Woods Creek CDP, Washington",6226,126674,53,79825
"Woodway city, Washington",1119,188125,53,79835
"Yacolt town, Washington",1482,78333,53,79975
"Yakima city, Washington",96266,50673,53,80010
"Yarrow Point town, Washington",1365,250001,53,80150
"Yelm city, Washington",10205,83027,53,80220
"Zillah city, Washington",3154,64201,53,80500
"Acalanes Ridge CDP, California",1074,161806,06,00135
"Acampo CDP, California",263,24446,06,00156
"Acton CDP, California",6809,109632,06,00212
"Adelanto city, California",37229,58040,06,00296
"Adin CDP, California",171,37600,06,00310
"Agoura Hills city, California",20362,141099,06,00394
"Agua Dulce CDP, California",3359,104014,06,00450
"Aguanga CDP, California",735,-666666666,06,00464
"Ahwahnee CDP, California",2134,76161,06,00478
"Airport CDP, California",1209,24500,06,00535
"Alameda city, California",78320,113339,06,00562
"Alamo CDP, California",13852,250001,06,00618
"Albany city, California",19958,113602,06,00674
"Albion CDP, California",274,-666666666,06,00716
"Alderpoint CDP, California",90,-666666666,06,00786
"Alhambra city, California",83174,73035,06,00884
"Alhambra Valley CDP, California",982,159079,06,00898
"Aliso Viejo city, California",51943,122320,06,00947
"Alleghany CDP, California",93,-666666666,06,00982
"Allendale CDP, California",1760,118810,06,00996
"Allensworth CDP, California",533,48906,06,01010
"Almanor CDP, California",0,-666666666,06,01094
"Alondra Park CDP, California",8022,69534,06,01150
"Alpaugh CDP, California",935,25313,06,01164
"Alpine CDP, California",15648,103503,06,01192
"Alpine Village CDP, California",175,80500,06,01228
"Alta CDP, California",645,82454,06,01276
"Altadena CDP, California",43384,109743,06,01290
"Alta Sierra CDP (Kern County), California",26,-666666666,06,01358
"Alta Sierra CDP (Nevada County), California",7769,102449,06,01360
"Alto CDP, California",900,185000,06,01416
"Alturas city, California",2693,50843,06,01444
"Alum Rock CDP, California",12218,110833,06,01458
"Amador City city, California",183,58000,06,01514
"Amador Pines CDP, California",1048,93625,06,01518
"American Canyon city, California",21735,117846,06,01640
"Amesti CDP, California",3307,94531,06,01651
"Anaheim city, California",348204,81806,06,02000
"Anchor Bay CDP, California",323,61786,06,02028
"Anderson city, California",11208,40954,06,02042
"Angels city, California",3691,49896,06,02112
"Angwin CDP, California",3088,119583,06,02168
"Antelope CDP, California",48421,86221,06,02210
"Antioch city, California",114750,82244,06,02252
"Anza CDP, California",2396,48686,06,02294
"Apple Valley town, California",75311,61758,06,02364
"Aptos CDP, California",6372,116583,06,02378
"Aptos Hills-Larkin Valley CDP, California",1649,136709,06,02382
"Arbuckle CDP, California",3325,73614,06,02420
"Arcadia city, California",56697,99588,06,02462
"Arcata city, California",19038,39069,06,02476
"Arden-Arcade CDP, California",95909,56805,06,02553
"Armona CDP, California",4521,53361,06,02700
"Arnold CDP, California",2109,68558,06,02770
"Aromas CDP, California",2941,165000,06,02812
"Arroyo Grande city, California",18422,90405,06,02868
"Artesia city, California",16390,83321,06,02896
"Artois CDP, California",161,48750,06,02910
"Arvin city, California",19568,42961,06,02924
"Ashland CDP, California",23640,71002,06,02980
"Aspen Springs CDP, California",156,114671,06,03026
"Atascadero city, California",29771,82777,06,03064
"Atherton town, California",7181,250001,06,03092
"Atwater city, California",31401,59436,06,03162
"Auberry CDP, California",3092,65341,06,03190
"Auburn city, California",13738,72409,06,03204
"Auburn Lake Trails CDP, California",3637,113663,06,03205
"August CDP, California",9829,43857,06,03209
"Avalon city, California",3514,78221,06,03274
"Avenal city, California",13881,52080,06,03302
"Avery CDP, California",277,-666666666,06,03316
"Avila Beach CDP, California",1613,113704,06,03330
"Avocado Heights CDP, California",13322,90398,06,03344
"Azusa city, California",49457,74043,06,03386
"Baker CDP, California",585,28933,06,03512
"Bakersfield city, California",398756,69014,06,03526
"Bakersfield Country Club CDP, California",1607,98125,06,03546
"Baldwin Park city, California",72813,72554,06,03666
"Ballard CDP, California",862,104306,06,03694
"Ballico CDP, California",444,153056,06,03708
"Bangor CDP, California",420,88047,06,03792
"Banning city, California",29664,46834,06,03820
"Barstow city, California",25123,48219,06,04030
"Bass Lake CDP, California",314,110875,06,04198
"Bay Point CDP, California",24999,71250,06,04415
"Bayview CDP (Contra Costa County), California",2825,113810,06,04470
"Bayview CDP (Humboldt County), California",2986,42292,06,04478
"Baywood Park CDP, California",1677,203750,06,04549
"Beale AFB CDP, California",1030,52552,06,04576
"Bear Creek CDP, California",107,70972,06,04632
"Bear Valley CDP (Alpine County), California",78,-666666666,06,04716
"Bear Valley CDP (Mariposa County), California",84,-666666666,06,04730
"Bear Valley Springs CDP, California",5067,89281,06,04734
"Beaumont city, California",52081,92797,06,04758
"Beckwourth CDP, California",301,233667,06,04772
"Belden CDP, California",0,-666666666,06,04856
"Bell city, California",33915,51183,06,04870
"Bella Vista CDP, California",3610,80337,06,04926
"Bell Canyon CDP, California",1844,216781,06,04938
"Bellflower city, California",79070,70236,06,04982
"Bell Gardens city, California",39870,50311,06,04996
"Belmont city, California",28109,178125,06,05108
"Belvedere city, California",2309,246500,06,05164
"Benbow CDP, California",199,38458,06,05262
"Bend CDP, California",415,-666666666,06,05276
"Benicia city, California",27191,118433,06,05290
"Ben Lomond CDP, California",7528,104107,06,05332
"Benton CDP, California",287,57951,06,05346
"Benton Park CDP, California",5146,52658,06,05356
"Berkeley city, California",119607,97834,06,06000
"Bermuda Dunes CDP, California",6862,71573,06,06028
"Berry Creek CDP, California",1190,39955,06,06070
"Bertsch-Oceanview CDP, California",2358,59931,06,06150
"Bethel Island CDP, California",2119,80227,06,06210
"Beverly Hills city, California",32903,103944,06,06308
"Bieber CDP, California",147,43393,06,06336
"Big Bear City CDP, California",12913,57147,06,06406
"Big Bear Lake city, California",5068,65441,06,06434
"Big Bend CDP, California",124,25625,06,06475
"Big Creek CDP, California",126,-666666666,06,06518
"Biggs city, California",2692,70435,06,06560
"Big Lagoon CDP, California",118,46484,06,06567
"Big Pine CDP, California",1570,54167,06,06616
"Big River CDP, California",1115,46026,06,06635
"Biola CDP, California",1515,57411,06,06728
"Bishop city, California",3800,71927,06,06798
"Blackhawk CDP, California",10874,210313,06,06928
"Blacklake CDP, California",631,115326,06,06935
"Black Point-Green Point CDP, California",1513,211726,06,06982
"Blairsden CDP, California",0,-666666666,06,06994
"Bloomfield CDP, California",188,120625,06,07036
"Bloomington CDP, California",22107,68628,06,07064
"Blue Lake city, California",927,46705,06,07162
"Bluewater CDP, California",141,-666666666,06,07172
"Blythe city, California",18125,49235,06,07218
"Bodega CDP, California",629,-666666666,06,07246
"Bodega Bay CDP, California",1139,-666666666,06,07260
"Bodfish CDP, California",2342,23061,06,07274
"Bolinas CDP, California",1181,87404,06,07316
"Bombay Beach CDP, California",210,23984,06,07372
"Bonadelle Ranchos CDP, California",5519,102381,06,07378
"Bonita CDP, California",12970,104694,06,07414
"Bonny Doon CDP, California",2881,120170,06,07470
"Bonsall CDP, California",4257,86442,06,07498
"Boonville CDP, California",1044,45357,06,07512
"Bootjack CDP, California",592,-666666666,06,07525
"Boron CDP, California",2418,54063,06,07568
"Boronda CDP, California",1913,-666666666,06,07578
"Borrego Springs CDP, California",2566,103390,06,07596
"Bostonia CDP, California",18074,66407,06,07624
"Boulder Creek CDP, California",5308,101207,06,07652
"Boulevard CDP, California",410,-666666666,06,07694
"Bowles CDP, California",262,-666666666,06,07750
"Boyes Hot Springs CDP, California",7791,79861,06,07848
"Bradbury city, California",760,171964,06,07946
"Bradley CDP, California",74,63750,06,07974
"Brawley city, California",26431,50964,06,08058
"Brea city, California",46912,108721,06,08100
"Brentwood city, California",63618,125152,06,08142
"Bret Harte CDP, California",4981,32375,06,08172
"Bridgeport CDP, California",424,87981,06,08240
"Brisbane city, California",4803,122202,06,08310
"Broadmoor CDP, California",4487,143465,06,08338
"Brookdale CDP, California",1228,74026,06,08478
"Brooks CDP, California",0,-666666666,06,08506
"Brooktrails CDP, California",4462,88295,06,08530
"Buckhorn CDP, California",2522,66055,06,08680
"Buck Meadows CDP, California",0,-666666666,06,08716
"Bucks Lake CDP, California",21,-666666666,06,08744
"Buellton city, California",5162,107614,06,08758
"Buena Park city, California",83974,90503,06,08786
"Buena Vista CDP, California",838,58417,06,08828
"Burbank city, California",107364,82246,06,08954
"Burbank CDP, California",5415,120556,06,08968
"Burlingame city, California",31142,150182,06,09066
"Burney CDP, California",3377,58443,06,09122
"Burnt Ranch CDP, California",236,50074,06,09150
"Butte Creek Canyon CDP, California",598,73409,06,09310
"Butte Meadows CDP, California",0,-666666666,06,09318
"Butte Valley CDP, California",869,83829,06,09324
"Buttonwillow CDP, California",1106,39844,06,09332
"Byron CDP, California",2113,83472,06,09346
"Bystrom CDP, California",4068,36102,06,09353
"Cabazon CDP, California",2264,65952,06,09360
"Calabasas city, California",23410,132838,06,09598
"Calexico city, California",38798,47390,06,09710
"California City city, California",14914,44733,06,09780
"California Hot Springs CDP, California",33,-666666666,06,09822
"California Pines CDP, California",286,36484,06,09834
"California Polytechnic State University CDP, California",7622,117083,06,09835
"Calimesa city, California",10053,67835,06,09864
"Calipatria city, California",7247,39217,06,09878
"Calistoga city, California",5267,72861,06,09892
"Callender CDP, California",2245,128235,06,09948
"Calpella CDP, California",617,89250,06,09990
"Calpine CDP, California",246,97031,06,10004
"Calwa CDP, California",2517,50189,06,10032
"Camanche North Shore CDP, California",1222,53306,06,10042
"Camanche Village CDP, California",1798,139015,06,10044
"Camarillo city, California",70593,102789,06,10046
"Cambria CDP, California",5487,87744,06,10074
"Cambrian Park CDP, California",3674,222857,06,10088
"Cameron Park CDP, California",17790,82429,06,10256
"Camino CDP, California",2042,127721,06,10270
"Camino Tassajara CDP, California",6279,250001,06,10301
"Campbell city, California",43954,130171,06,10345
"Camp Nelson CDP, California",0,-666666666,06,10494
"Campo CDP, California",3597,65504,06,10508
"Camp Pendleton Mainside CDP, California",7657,52208,06,10554
"Camp Pendleton South CDP, California",15131,58243,06,10561
"Camptonville CDP, California",227,102593,06,10676
"Canby CDP, California",277,-666666666,06,10732
"Cantua Creek CDP, California",471,36139,06,10816
"Canyondam CDP, California",0,-666666666,06,10914
"Canyon Lake city, California",11071,120118,06,10928
"Capitola city, California",10041,83726,06,11040
"Caribou CDP, California",0,-666666666,06,11166
"Carlsbad city, California",114858,119302,06,11194
"Carmel-by-the-Sea city, California",3296,100365,06,11250
"Carmel Valley Village CDP, California",4400,142222,06,11324
"Carmet CDP, California",16,-666666666,06,11376
"Carmichael CDP, California",77358,74184,06,11390
"Carnelian Bay CDP, California",627,122375,06,11418
"Carpinteria city, California",13289,78349,06,11446
"Carrick CDP, California",67,-666666666,06,11481
"Carson city, California",95104,92548,06,11530
"Cartago CDP, California",64,68553,06,11600
"Caruthers CDP, California",2171,58309,06,11614
"Casa Conejo CDP, California",2961,117639,06,11656
"Casa de Oro-Mount Helix CDP, California",19804,102454,06,11691
"Casa Loma CDP, California",1661,38324,06,11696
"Casmalia CDP, California",55,-666666666,06,11754
"Caspar CDP, California",269,137850,06,11768
"Cassel CDP, California",287,-666666666,06,11782
"Castaic CDP, California",18017,127344,06,11796
"Castella CDP, California",210,47500,06,11824
"Castle Hill CDP, California",920,215625,06,11915
"Castro Valley CDP, California",66324,124203,06,11964
"Castroville CDP, California",6665,69620,06,11978
"Cathedral City city, California",51836,56671,06,12048
"Catheys Valley CDP, California",783,56875,06,12062
"Cayucos CDP, California",2133,77963,06,12132
"Cazadero CDP, California",351,64792,06,12146
"Cedar Flat CDP, California",901,93000,06,12216
"Cedar Ridge CDP, California",1296,64474,06,12300
"Cedar Slope CDP, California",0,-666666666,06,12314
"Cedarville CDP, California",711,42875,06,12328
"Centerville CDP (Fresno County), California",166,-666666666,06,12412
"Centerville CDP (Shasta County), California",2136,102969,06,12415
"Ceres city, California",49132,64153,06,12524
"Cerritos city, California",49630,115600,06,12552
"Chalfant CDP, California",1155,66250,06,12594
"Challenge-Brownsville CDP, California",984,77375,06,12612
"Channel Islands Beach CDP, California",2391,93893,06,12669
"Charleston View CDP, California",0,-666666666,06,12730
"Charter Oak CDP, California",9825,77637,06,12734
"Cherokee CDP, California",91,-666666666,06,12818
"Cherokee Strip CDP, California",236,30469,06,12860
"Cherryland CDP, California",15552,75470,06,12902
"Cherry Valley CDP, California",7749,77273,06,12916
"Chester CDP, California",2242,59459,06,12930
"Chico city, California",103898,60507,06,13014
"Chilcoot-Vinton CDP, California",318,-666666666,06,13077
"China Lake Acres CDP, California",2441,62532,06,13157
"Chinese Camp CDP, California",108,-666666666,06,13182
"Chino city, California",90279,91107,06,13210
"Chino Hills city, California",78229,109285,06,13214
"Choctaw Valley CDP, California",137,86146,06,13278
"Chowchilla city, California",18826,60875,06,13294
"Chualar CDP, California",1139,-666666666,06,13364
"Chula Vista city, California",274818,92913,06,13392
"Citrus CDP, California",10626,84279,06,13560
"Citrus Heights city, California",87521,68457,06,13588
"Claremont city, California",36312,111937,06,13756
"Clarksburg CDP, California",379,-666666666,06,13784
"Clay CDP, California",1093,108789,06,13854
"Clayton city, California",11136,150948,06,13882
"Clear Creek CDP, California",283,43486,06,13910
"Clearlake city, California",16468,37783,06,13945
"Clearlake Oaks CDP, California",2171,48221,06,13966
"Clearlake Riviera CDP, California",4357,74837,06,13985
"Cleone CDP, California",892,86100,06,14008
"Clio CDP, California",170,31250,06,14106
"Clipper Mills CDP, California",402,64743,06,14148
"Cloverdale city, California",9023,89630,06,14190
"Clovis city, California",118488,89769,06,14218
"Clyde CDP, California",633,67794,06,14232
"Coachella city, California",42123,40688,06,14260
"Coalinga city, California",17560,65180,06,14274
"Coarsegold CDP, California",4799,74265,06,14288
"Cobb CDP, California",646,100739,06,14302
"Coffee Creek CDP, California",299,52500,06,14406
"Cohasset CDP, California",480,70446,06,14442
"Cold Springs CDP (El Dorado County), California",665,59875,06,14450
"Cold Springs CDP (Tuolumne County), California",0,-666666666,06,14454
"Coleville CDP, California",329,38639,06,14484
"Colfax city, California",2289,69844,06,14498
"College City CDP, California",153,-666666666,06,14554
"Collierville CDP, California",1856,76739,06,14708
"Colma town, California",1353,102500,06,14736
"Coloma CDP, California",392,94453,06,14764
"Colton city, California",53894,60874,06,14890
"Columbia CDP, California",2079,40730,06,14904
"Colusa city, California",6359,55664,06,14946
"Commerce city, California",12459,58226,06,14974
"Comptche CDP, California",263,-666666666,06,15030
"Compton city, California",96083,62297,06,15044
"Concord city, California",125769,100011,06,16000
"Concow CDP, California",306,28750,06,16035
"Contra Costa Centre CDP, California",6743,135139,06,16090
"Copperopolis CDP, California",3563,81319,06,16210
"Corcoran city, California",22616,46782,06,16224
"Corning city, California",8156,48313,06,16322
"Corona city, California",157844,95268,06,16350
"Coronado city, California",20627,114559,06,16378
"Coronita CDP, California",3950,109054,06,16420
"Corralitos CDP, California",2367,154958,06,16434
"Corte Madera town, California",10145,183661,06,16462
"Costa Mesa city, California",112148,96391,06,16532
"Cotati city, California",7603,97500,06,16560
"Coto de Caza CDP, California",15873,210990,06,16580
"Cottonwood CDP (Kern County), California",3381,29980,06,16623
"Cottonwood CDP (Shasta County), California",5912,73690,06,16630
"Coulterville CDP, California",44,-666666666,06,16644
"Country Club CDP, California",9667,71185,06,16651
"Courtland CDP, California",669,63872,06,16714
"Covelo CDP, California",1317,42654,06,16728
"Covina city, California",51061,81570,06,16742
"Cowan CDP, California",595,68456,06,16762
"Crane Creek CDP, California",34,-666666666,06,16886
"Crescent City city, California",6686,34676,06,17022
"Crescent Mills CDP, California",89,-666666666,06,17050
"Cressey CDP, California",311,69318,06,17078
"Crest CDP, California",2776,102031,06,17106
"Crestline CDP, California",9350,64523,06,17162
"Creston CDP, California",0,-666666666,06,17232
"C-Road CDP, California",101,-666666666,06,17267
"Crockett CDP, California",3405,95357,06,17274
"Cromberg CDP, California",433,85804,06,17288
"Crowley Lake CDP, California",1094,-666666666,06,17372
"Crows Landing CDP, California",278,32016,06,17428
"Cudahy city, California",23003,47050,06,17498
"Culver City city, California",40640,105346,06,17568
"Cupertino city, California",60681,199778,06,17610
"Cutler CDP, California",5172,53370,06,17708
"Cutten CDP, California",3180,84688,06,17722
"Cuyama CDP, California",14,-666666666,06,17727
"Cypress city, California",50279,109180,06,17750
"Dales CDP, California",29,-666666666,06,17876
"Daly City city, California",104914,105374,06,17918
"Dana Point city, California",33327,111132,06,17946
"Danville town, California",43673,181453,06,17988
"Daphnedale Park CDP, California",129,-666666666,06,17995
"Darwin CDP, California",74,-666666666,06,18030
"Davenport CDP, California",688,56731,06,18086
"Davis city, California",67208,81231,06,18100
"Day Valley CDP, California",3397,156609,06,18153
"Deer Park CDP, California",697,109271,06,18324
"Del Aire CDP, California",10617,116520,06,18352
"Delano city, California",52206,48344,06,18394
"Del Dios CDP, California",277,96471,06,18422
"Delft Colony CDP, California",1427,-666666666,06,18450
"Delhi CDP, California",10921,67570,06,18464
"Delleker CDP, California",675,73750,06,18485
"Del Mar city, California",4008,157708,06,18506
"Del Monte Forest CDP, California",3604,140132,06,18590
"Del Rey CDP, California",1413,38516,06,18674
"Del Rey Oaks city, California",1616,115469,06,18688
"Del Rio CDP, California",1445,153649,06,18695
"Denair CDP, California",4905,96611,06,18856
"Derby Acres CDP, California",362,66250,06,18926
"Descanso CDP, California",1595,112969,06,18940
"Desert Center CDP, California",288,34583,06,18982
"Desert Edge CDP, California",3484,36799,06,18986
"Desert Hot Springs city, California",31988,37924,06,18996
"Desert Palms CDP, California",6225,68583,06,19022
"Desert Shores CDP, California",395,21009,06,19024
"Desert View Highlands CDP, California",3205,66944,06,19052
"Diablo CDP, California",689,-666666666,06,19150
"Diablo Grande CDP, California",1111,110833,06,19155
"Diamond Bar city, California",55339,100776,06,19192
"Diamond Springs CDP, California",11545,64674,06,19220
"Di Giorgio CDP, California",390,30469,06,19248
"Dillon Beach CDP, California",394,183229,06,19262
"Dinuba city, California",24383,50186,06,19318
"Discovery Bay CDP, California",15704,138576,06,19339
"Dixon city, California",19038,84208,06,19402
"Dixon Lane-MeadowCreek CDP, California",2835,52530,06,19406
"Dobbins CDP, California",301,-666666666,06,19416
"Dogtown CDP, California",2894,116063,06,19440
"Dollar Point CDP, California",949,81136,06,19455
"Dorrington CDP, California",463,113542,06,19570
"Dorris city, California",875,34643,06,19584
"Dos Palos city, California",5651,60250,06,19612
"Dos Palos Y CDP, California",213,19375,06,19654
"Douglas City CDP, California",951,48346,06,19724
"Downey city, California",114293,77972,06,19766
"Downieville CDP, California",92,98589,06,19794
"Doyle CDP, California",959,55000,06,19878
"Drytown CDP, California",13,-666666666,06,19976
"Duarte city, California",21723,86903,06,19990
"Dublin city, California",69818,171168,06,20018
"Ducor CDP, California",613,39000,06,20032
"Dunnigan CDP, California",1081,40875,06,20228
"Dunsmuir city, California",1826,39737,06,20242
"Durham CDP, California",5989,107000,06,20270
"Dustin Acres CDP, California",393,49519,06,20284
"Dutch Flat CDP, California",110,43125,06,20298
"Eagleville CDP, California",23,-666666666,06,20424
"Earlimart CDP, California",7896,43194,06,20438
"East Bakersfield CDP, California",11025,30091,06,20515
"Eastern Goleta Valley CDP, California",29983,126944,06,20574
"East Foothills CDP, California",7391,168390,06,20598
"East Hemet CDP, California",19998,65268,06,20697
"East Los Angeles CDP, California",118964,54629,06,20802
"East Nicolaus CDP, California",168,76875,06,20900
"East Niles CDP, California",29110,46701,06,20903
"East Oakdale CDP, California",2358,130833,06,20907
"Easton CDP, California",2155,80893,06,20928
"East Orosi CDP, California",647,-666666666,06,20942
"East Palo Alto city, California",29888,96349,06,20956
"East Pasadena CDP, California",5829,94375,06,20984
"East Porterville CDP, California",5651,31151,06,21012
"East Quincy CDP, California",2276,64143,06,21026
"East Rancho Dominguez CDP, California",14462,62886,06,21034
"East Richmond Heights CDP, California",3355,105108,06,21061
"East San Gabriel CDP, California",22941,94043,06,21096
"East Shore CDP, California",161,102063,06,21138
"East Sonora CDP, California",2654,66111,06,21188
"East Tulare Villa CDP, California",692,57396,06,21210
"Eastvale city, California",68539,141827,06,21230
"East Whittier CDP, California",9995,82612,06,21292
"Edgewood CDP, California",47,72188,06,21530
"Edison CDP, California",326,-666666666,06,21544
"Edmundson Acres CDP, California",250,56250,06,21558
"Edna CDP, California",393,145808,06,21565
"Edwards AFB CDP, California",2721,72188,06,21600
"El Adobe CDP, California",113,64688,06,21691
"El Cajon city, California",106043,58193,06,21712
"El Centro city, California",44322,49244,06,21782
"El Centro Naval Air Facility CDP, California",519,53333,06,21788
"El Cerrito city, California",25898,116875,06,21796
"El Cerrito CDP, California",5093,110469,06,21810
"El Dorado Hills CDP, California",48612,139810,06,21880
"Eldridge CDP, California",944,193246,06,21894
"Elfin Forest CDP, California",519,202933,06,21916
"El Granada CDP, California",5842,182174,06,21936
"Elizabeth Lake CDP, California",1817,84000,06,21964
"Elk Creek CDP, California",153,-666666666,06,22006
"Elk Grove city, California",175510,106797,06,22020
"Elkhorn CDP, California",1202,94000,06,22034
"El Macero CDP, California",1073,157222,06,22104
"Elmira CDP, California",202,64574,06,22146
"El Monte city, California",110144,56524,06,22230
"El Monte Mobile Village CDP, California",0,-666666666,06,22235
"El Nido CDP, California",308,48793,06,22286
"El Paso de Robles (Paso Robles) city, California",31593,75569,06,22300
"El Portal CDP, California",363,45221,06,22328
"El Rancho CDP, California",48,-666666666,06,22360
"El Rio CDP, California",6447,63270,06,22370
"El Segundo city, California",17243,126683,06,22412
"El Sobrante CDP (Contra Costa County), California",15468,101536,06,22454
"El Sobrante CDP (Riverside County), California",12163,133667,06,22457
"El Verano CDP, California",3346,86548,06,22510
"Elverta CDP, California",5104,86685,06,22524
"Emerald Lake Hills CDP, California",4545,250001,06,22587
"Emeryville city, California",12747,109960,06,22594
"Empire CDP, California",3496,42204,06,22622
"Encinitas city, California",62140,132276,06,22678
"Escalon city, California",7458,67176,06,22790
"Escondido city, California",151443,70115,06,22804
"Esparto CDP, California",3733,87837,06,22846
"Etna city, California",753,48523,06,22972
"Eucalyptus Hills CDP, California",6097,105833,06,23000
"Eureka city, California",26763,46926,06,23042
"Exeter city, California",10349,55519,06,23126
"Fairbanks Ranch CDP, California",2960,231721,06,23150
"Fairfax CDP, California",1986,-666666666,06,23158
"Fairfax town, California",7605,111290,06,23168
"Fairfield city, California",118932,92625,06,23182
"Fairhaven CDP, California",258,49750,06,23196
"Fairmead CDP, California",1382,40729,06,23210
"Fair Oaks CDP, California",31750,99629,06,23294
"Fairview CDP, California",11050,135880,06,23350
"Fallbrook CDP, California",32999,73165,06,23462
"Fall River Mills CDP, California",657,-666666666,06,23532
"Farmersville city, California",10441,48262,06,23616
"Farmington CDP, California",144,-666666666,06,23630
"Fellows CDP, California",86,113125,06,23812
"Felton CDP, California",3467,107159,06,23826
"Ferndale city, California",1481,62500,06,23910
"Fetters Hot Springs-Agua Caliente CDP, California",3664,90515,06,23973
"Fiddletown CDP, California",252,103403,06,23980
"Fieldbrook CDP, California",779,71875,06,24008
"Fields Landing CDP, California",632,66068,06,24022
"Fillmore city, California",16373,78024,06,24092
"Firebaugh city, California",8040,36667,06,24134
"Fish Camp CDP, California",0,-666666666,06,24218
"Florence-Graham CDP, California",64109,53478,06,24477
"Florin CDP, California",51568,53921,06,24498
"Floriston CDP, California",22,-666666666,06,24526
"Flournoy CDP, California",148,75625,06,24568
"Folsom city, California",79201,128421,06,24638
"Fontana city, California",208087,83468,06,24680
"Foothill Farms CDP, California",37432,57810,06,24722
"Forbestown CDP, California",272,85582,06,24750
"Ford City CDP, California",4327,41858,06,24764
"Foresthill CDP, California",1265,56203,06,24834
"Forest Meadows CDP, California",1371,85962,06,24897
"Forest Ranch CDP, California",1820,137216,06,24918
"Forestville CDP, California",3768,88594,06,24960
"Fort Bidwell CDP, California",207,34286,06,25030
"Fort Bragg city, California",7049,46174,06,25058
"Fort Dick CDP, California",1271,59894,06,25086
"Fort Hunter Liggett CDP, California",204,-666666666,06,25093
"Fort Irwin CDP, California",9100,58000,06,25114
"Fort Jones city, California",647,29716,06,25128
"Fortuna city, California",12480,53526,06,25296
"Fort Washington CDP, California",167,108088,06,25300
"Foster City city, California",33511,173721,06,25338
"Fountain Valley city, California",57139,92765,06,25380
"Fowler city, California",6675,61712,06,25436
"Franklin CDP (Merced County), California",7386,50290,06,25488
"Franklin CDP (Sacramento County), California",30,-666666666,06,25506
"Frazier Park CDP, California",3063,37662,06,25534
"Freedom CDP, California",3399,93253,06,25576
"Freeport CDP, California",0,-666666666,06,25590
"Fremont city, California",231502,153475,06,26000
"French Camp CDP, California",3778,71250,06,26028
"French Gulch CDP, California",387,46071,06,26056
"French Valley CDP, California",40188,116972,06,26067
"Fresno city, California",538678,57211,06,27000
"Friant CDP, California",426,51146,06,27014
"Fruitdale CDP, California",1357,151364,06,27080
"Fruitridge Pocket CDP, California",5915,40717,06,27130
"Fuller Acres CDP, California",651,32417,06,27190
"Fullerton city, California",142964,92718,06,28000
"Fulton CDP, California",457,146000,06,28014
"Furnace Creek CDP, California",103,42813,06,28021
"Galt city, California",25385,77669,06,28112
"Garberville CDP, California",1416,24375,06,28154
"Gardena city, California",60917,68413,06,28168
"Garden Acres CDP, California",10411,48956,06,28182
"Garden Farms CDP, California",373,-666666666,06,28210
"Garden Grove city, California",172708,78046,06,29000
"Garey CDP, California",45,101250,06,29070
"Garnet CDP, California",5853,43906,06,29112
